score,parameters
0.5349626577035849,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
0.5745652045106032,"{'min_samples_leaf': 2, 'min_samples_split': 15}"
0.5972283643722804,"{'min_samples_leaf': 2, 'min_samples_split': 30}"
0.573565795201169,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
0.5918276043444557,"{'min_samples_leaf': 4, 'min_samples_split': 15}"
0.6012196062120074,"{'min_samples_leaf': 4, 'min_samples_split': 30}"
0.5977443808253409,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
0.6040561822949518,"{'min_samples_leaf': 6, 'min_samples_split': 15}"
0.6107211146466953,"{'min_samples_leaf': 6, 'min_samples_split': 30}"
0.6048048187137335,"{'min_samples_leaf': 8, 'min_samples_split': 7}"
0.6055452741790076,"{'min_samples_leaf': 8, 'min_samples_split': 15}"
0.6105115985363804,"{'min_samples_leaf': 8, 'min_samples_split': 30}"
