score,parameters
0.5503969038281407,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
0.5833321518555208,"{'min_samples_leaf': 2, 'min_samples_split': 15}"
0.5964068547155723,"{'min_samples_leaf': 2, 'min_samples_split': 30}"
0.5826588432035982,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
0.5956605418754524,"{'min_samples_leaf': 4, 'min_samples_split': 15}"
0.602151567984223,"{'min_samples_leaf': 4, 'min_samples_split': 30}"
0.597133365817234,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
0.5983750584691288,"{'min_samples_leaf': 6, 'min_samples_split': 15}"
0.6015893961781555,"{'min_samples_leaf': 6, 'min_samples_split': 30}"
0.6006167038207071,"{'min_samples_leaf': 8, 'min_samples_split': 7}"
0.6006370060225509,"{'min_samples_leaf': 8, 'min_samples_split': 15}"
0.6028173916135218,"{'min_samples_leaf': 8, 'min_samples_split': 30}"
