score,parameters
0.859608843537415,"{'C': 5, 'kernel': 'linear'}"
0.70671768707483,"{'C': 5, 'kernel': 'rbf'}"
0.859608843537415,"{'C': 10, 'kernel': 'linear'}"
0.7066326530612245,"{'C': 10, 'kernel': 'rbf'}"
